Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-90.7789,423.178,1145.47,-103.238,152.494,1134.99,-304.029,337.46,1204.13,-300.932,231.725,1199.12,-132.056,486.625,860.999,-110.92,452.376,665.732,-125.792,446.002,457.709,-157.623,386.21,235.961,-222.192,338.107,189.236,-3.76326,383.257,190.99,-129.661,96.3835,842.367,-131.195,114.844,649.113,-260.963,114.029,478.294,-413.761,155.529,296.314,-476.482,210.491,321.545,-327.491,161.626,185.246
2,0,-92.3574,424.4,1145.03,-104.829,153.324,1134.8,-305.408,339.266,1204.08,-302.725,233.841,1197.9,-135.974,488.136,860.996,-116.481,454.074,665.273,-131.715,447.009,457.112,-163.786,386.28,235.609,-228.636,338.095,189.194,-10.0768,383.331,190.699,-123.47,95.9968,844.17,-121.803,114.348,650.508,-253.791,113.415,483.614,-410.934,155.499,304.976,-471.825,211.475,332.527,-331.779,161.277,189.402
3,0,-93.9371,425.593,1144.64,-106.397,154.147,1134.7,-306.794,340.939,1204.07,-304.466,235.807,1196.83,-139.813,489.53,860.978,-122.038,455.627,664.842,-137.657,447.92,456.568,-169.984,386.334,235.304,-235.051,338.064,189.163,-16.3981,383.386,190.422,-117.936,95.6364,845.924,-112.853,113.954,652.073,-246.649,112.91,488.589,-407.44,155.461,312.702,-466.913,212.235,342.134,-334.13,161.066,193.416
4,0,-95.5182,426.755,1144.3,-107.942,154.962,1134.69,-308.186,342.48,1204.08,-306.158,237.623,1195.93,-143.573,490.808,860.943,-127.59,457.034,664.438,-143.618,448.737,456.076,-176.217,386.374,235.048,-241.438,338.015,189.142,-22.7274,383.423,190.16,-113.056,95.3032,847.627,-104.344,113.66,653.807,-239.536,112.514,493.217,-403.28,155.414,319.491,-461.744,212.773,350.367,-334.547,160.992,197.285
5,0,-97.1001,427.888,1143.99,-109.464,155.77,1134.77,-309.585,343.89,1204.13,-307.799,239.291,1195.18,-147.256,491.968,860.893,-133.139,458.298,664.063,-149.598,449.459,455.635,-182.482,386.399,234.839,-247.798,337.949,189.131,-29.0648,383.441,189.912,-108.825,94.9994,849.281,-96.2742,113.467,655.711,-232.449,112.226,497.496,-398.456,155.362,325.341,-456.312,213.097,357.225,-333.046,161.052,201.001
6,0,-98.6827,428.989,1143.73,-110.961,156.57,1134.94,-310.989,345.172,1204.21,-309.389,240.812,1194.59,-150.865,493.011,860.828,-138.682,459.417,663.716,-155.596,450.087,455.246,-188.78,386.408,234.675,-254.132,337.865,189.131,-35.4103,383.441,189.677,-105.232,94.7292,850.885,-88.642,113.375,657.779,-225.384,112.045,501.419,-392.97,155.308,330.248,-450.603,213.224,362.706,-329.653,161.238,204.551
7,0,-100.265,430.06,1143.52,-112.435,157.363,1135.19,-312.398,346.328,1204.31,-310.931,242.189,1194.16,-154.405,493.936,860.746,-144.221,460.394,663.397,-161.612,450.623,454.908,-195.105,386.401,234.553,-260.44,337.765,189.14,-41.764,383.426,189.456,-102.256,94.4992,852.44,-81.4439,113.383,660.009,-218.336,111.969,504.978,-386.827,155.26,334.206,-444.597,213.179,366.807,-324.414,161.539,207.914
8,0,-101.846,431.099,1143.34,-113.884,158.146,1135.53,-313.809,347.366,1204.45,-312.425,243.427,1193.87,-157.88,494.743,860.648,-149.754,461.231,663.105,-167.645,451.067,454.619,-201.454,386.377,234.47,-266.727,337.65,189.157,-48.1256,383.395,189.246,-99.8676,94.3182,853.946,-74.6759,113.491,662.39,-211.297,111.994,508.161,-380.032,155.225,337.209,-438.264,212.996,369.53,-317.394,161.937,211.062
9,0,-103.424,432.105,1143.19,-115.308,158.921,1135.96,-315.22,348.292,1204.61,-313.873,244.533,1193.74,-161.3,495.433,860.532,-155.281,461.93,662.839,-173.694,451.423,454.377,-207.822,386.336,234.419,-272.994,337.523,189.183,-54.4945,383.351,189.046,-98.0267,94.1962,855.408,-68.3342,113.698,664.911,-204.256,112.117,510.955,-372.593,155.213,339.251,-431.564,212.714,370.877,-308.683,162.409,213.965
