Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0231934,0.00488281,0.0274658,0.039978,0.0268555,0.0170898,0.0775146,0.0134277,0.0204468,-0.0296021,-0.038147,0.0137329,0.214539
1,1,0.0189209,0.000305176,0.0314331,0.0183105,0.0250244,-0.00640869,-0.0939941,0.0247192,0.0286865,0.0180054,-0.0283813,0.00335693,0.284729
1,2,0.0195312,-0.00427246,0.0317383,0.0656128,0.0363159,0.0180054,-0.0479126,0.00793457,0.0177002,0.00793457,-0.0192261,0.0198364,0.377808
1,3,0.0592041,0.00274658,0.022583,0.0299072,0.0250244,0.0131226,0.0238037,-0.00183105,0.00640869,0.0262451,-0.0100708,0.0427246,0.337219
1,4,0.0228882,-0.00854492,0.0332642,0.0354004,0.0164795,0.0143433,-0.083313,0.0100708,0.0250244,0.0244141,-0.000305176,0.0268555,0.307617
2,0,0.0430298,0.0485229,0.0274658,0.0469971,0.0134277,0.0198364,-0.0259399,0.00823975,0.020752,0.0143433,-0.0262451,-0.0106812,0.280457
2,1,-0.00518799,0.0753784,0.0158691,-0.012207,0.00854492,0.00610352,0.0979614,0.0192261,0.0198364,0.0378418,-0.0286865,0.0167847,0.247192
2,2,0.0411987,0.0653076,0.00305176,0.03479,0.0140381,0.0140381,0.00488281,0.0125122,0.0390625,0.0112915,-0.00793457,0.0396729,0.233459
2,3,0.0482178,0.015564,0.0256348,0.0311279,0.0234985,0.00671387,0.06073,0.0137329,0.0192261,0.057373,-0.0164795,0.0259399,0.231018
2,4,0.0253296,0.0234985,0.0384521,0.0384521,0.022583,-0.00183105,0.00518799,0.0106812,0.0238037,0.00518799,-0.0119019,0.0244141,0.212402
3,0,0.0256348,0.0106812,0.0231934,0.0250244,0.00549316,-0.0137329,-0.0613403,0.0317383,0.0119019,0.0201416,-0.010376,0.0210571,0.185852
3,1,0.0335693,0.0259399,0.0393677,0.0341797,0.0332642,0.00518799,0.0845337,-0.0228882,0.0158691,0.0158691,-0.00396729,0.0344849,0.178833
3,2,-0.0189209,0.0311279,0.0408936,0.0384521,0.0125122,0.0088501,0.106201,0.0161743,0.0125122,0.0167847,-0.0143433,0.0134277,0.166931
3,3,0.0244141,0.117798,0.043335,0.0244141,0.0585938,-0.00854492,0.090332,0.0341797,0.0396729,0.0283813,-0.000610352,0.0201416,0.131836
3,4,0.0192261,0.045166,0.0631714,0.0195312,0.0286865,0.0183105,0.0738525,-0.015564,0.0164795,0.0164795,-0.00152588,0.0119019,0.152283
