Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0262451,0.00823975,0.020752,-0.0131226,0.00427246,0.00854492,0.0198364,0.020752,0.0357056,0.0112915,-0.017395,0.0268555,0.0204468
1,1,0.0320435,0.0164795,0.0134277,0.00366211,0.0149536,0.0714111,0.00976562,0.0344849,0.0210571,0.0366211,-0.0283813,0.0244141,0.0415039
1,2,0.0262451,0.0375366,-0.00915527,0.0140381,0.0161743,0.0265503,0.0115967,0.0460815,0.0283813,0.0228882,0.0115967,0.0183105,0.0570679
1,3,0.0210571,0.0326538,0.012207,0.0112915,0.0213623,0.015564,0.0210571,0.0366211,0.0344849,0.0262451,-0.027771,0.0131226,0.0427246
1,4,0.0308228,0.0262451,0.0125122,0.0222778,0.0216675,0.012207,0.0213623,0.0244141,0.0427246,0.0418091,-0.0274658,0.0192261,0.045166
2,0,0.0280762,0.0332642,0.0012207,0.0259399,0.0234985,0.0125122,0.0357056,0.0186157,0.0326538,-0.0463867,-0.0259399,0.0137329,0.0369263
2,1,0.0335693,0.0158691,0.0119019,0.0152588,0.0146484,0.038147,0.0332642,0.0308228,0.0201416,0.00946045,-0.0317383,0.0119019,0.0839233
2,2,-0.0161743,0.0219727,0.0134277,0.0363159,0.0262451,0.0231934,0.0424194,0.0326538,0.0393677,0.0622559,-0.0231934,0.0289917,0.015564
2,3,0.0302124,0.0186157,0.038147,0.0204468,0.0210571,-0.0418091,0.0256348,0.0180054,0.0360107,0.0280762,-0.0335693,0.0216675,0.00305176
2,4,0.0283813,0.0323486,0.00762939,0.0192261,0.0341797,0.0204468,0.0354004,0.00183105,0.0283813,0.020752,-0.0628662,0.0253296,-0.0268555
3,0,0.00701904,0.0198364,0.012207,0.022583,0.0228882,0.0241089,0.0326538,0.0283813,0.0384521,0.0350952,-0.0152588,0.0216675,0.00244141
3,1,0.0259399,0.0296021,0.0177002,0.017395,0.00976562,0.0311279,0.0192261,0.0448608,0.0262451,0.0369263,-0.0198364,0.017395,0.00183105
