Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0579834,0.000305176,0.0149536,0.027771,0.00793457,0.00976562,0.0280762,0.0109863,0.0250244,1.6922,-0.0137329,0.0100708,0.0012207
1,1,0.0228882,0.0231934,0.000915527,0.0222778,0.0265503,0.0320435,0.027771,0.00488281,0.0143433,1.62384,-0.0192261,0.017395,0.00732422
1,2,0.0238037,0.0128174,0.0134277,0.022583,0.00640869,0.0286865,0.00427246,0.022583,0.027771,1.56891,0.00762939,0.0112915,0.0292969
1,3,0.0201416,-0.0204468,-0.00183105,0.0271606,0.0344849,-0.00915527,0.0299072,-0.00244141,0.0439453,0.12146,-0.0146484,0.0494385,0.0238037
1,4,0.0088501,0.0201416,0.00671387,0.0164795,0.0241089,-0.020752,0.0479126,-0.017395,0.0128174,1.10016,-0.00518799,0.020752,0.0283813
2,0,0.0195312,0.0119019,-0.0274658,0.0134277,0.0100708,0.00946045,0.0152588,-0.000610352,0.0149536,0.888367,-0.0308228,0.0247192,-0.00457764
2,1,0.0167847,0.0234985,0.00579834,0.0177002,-0.0125122,0.0296021,0.0354004,0.0143433,0.0320435,-0.534058,-0.0234985,-0.00701904,0.0140381
2,2,0.032959,0.017395,0.0119019,0.0296021,0.0161743,0.0192261,0.0186157,0.00793457,0.0216675,1.50879,-0.0186157,0.00976562,-0.0234985
2,3,-0.0463867,0.017395,0.012207,0.012207,0.012207,0.0411987,0.0286865,-0.00610352,0.00762939,1.40076,-0.022583,0.00488281,0.0177002
2,4,0.0183105,0.00915527,0.0869751,0.0195312,0.0393677,0.0585938,0.0238037,0.0088501,0.0592041,-0.314026,-0.0314331,0.0292969,0.0378418
3,0,0.0256348,-0.0012207,0.00671387,0.0326538,-0.0186157,0.0250244,0.0479126,-0.0241089,0.0167847,-3.1842,-0.0210571,0.0149536,0.0149536
3,1,0.015564,0.015564,0.00762939,0.0183105,0.00610352,0.015564,0.0268555,0.00640869,0.00793457,1.50085,-0.0265503,-0.032959,0.0222778
3,2,0.0283813,-0.0366211,0.00640869,0.0161743,0.0146484,0.0119019,0.0308228,0.0137329,0.0292969,1.44775,-0.0164795,-0.0268555,0.0274658
3,3,0.0152588,0.0183105,-0.0161743,0.00823975,0.0134277,0.0411987,0.0357056,0.0152588,-0.00610352,1.3858,-0.0274658,0.0256348,0
3,4,0.0195312,0.00732422,0.0338745,0.00732422,0.0219727,0.0613403,0.0274658,0.00671387,0.0698853,1.34247,-0.03479,0.0457764,0.0152588
4,0,0.0323486,0.00610352,-0.0012207,0.00518799,0.022583,0.015564,0.0335693,0.0189209,0.00152588,1.29089,-0.0491333,0.00671387,0.027771
4,1,0.0100708,0.0149536,0.0119019,-0.000610352,0.017395,0.0439453,0.0238037,0.00549316,0.0299072,1.25488,-0.0250244,0.0137329,0.0286865
4,2,0.0128174,-0.00335693,0.015564,0.0177002,0.057373,0.0228882,0.0204468,0.017395,0.027771,1.20209,-0.0189209,0.0256348,0.0189209
4,3,0.015564,0.0198364,0.0158691,0.0158691,0.015564,0.0198364,0.0164795,0.00946045,0.0152588,1.14441,-0.0222778,0.00579834,0.0247192
4,4,0.0698853,0.0268555,0.0128174,0.0387573,0.00854492,0.0192261,-0.012207,0.0250244,0.0234985,1.09192,-0.022583,0.0167847,0.0424194
5,0,0.0125122,0.000610352,0.0161743,0.00610352,-0.0152588,0.0125122,0.0402832,0.0183105,0.0106812,1.04828,-0.0195312,0.0112915,0.0146484
5,1,0.00549316,0.0247192,0.0134277,0.0314331,0.0201416,0.017395,0.0390625,0.020752,0.0115967,0.99762,-0.0250244,0.0167847,0.0170898
5,2,0.0338745,-0.0427246,0.00396729,0.015564,0.010376,0.0445557,0.0161743,0.0500488,0.00518799,0.976257,-0.0259399,0.0119019,0.0216675
5,3,0.0323486,-0.0012207,0,0.0219727,0.00244141,0.0231934,0.0674438,0.015564,0.0183105,-0.362854,-0.0332642,0.015564,-0.0402832
5,4,0.0354004,0.0100708,0.0100708,0.00701904,0.0619507,0.0268555,0.0289917,0.00579834,0.0271606,-3.16833,-0.000915527,0.0234985,0.00854492
6,0,0.0189209,0.0201416,0.00518799,0.0357056,0.0167847,0.0305176,0.0231934,0.0137329,0.0436401,0.242615,-0.03479,0.015564,0.00671387
6,1,0.0234985,0.0115967,0.0183105,0.00854492,0.0186157,-0.0088501,0.0152588,0.0500488,0.032959,-3.17017,-0.0335693,0.0128174,0.0186157
6,2,0.0723267,0.0244141,0.0125122,-0.027771,0.0222778,0.0134277,0.0796509,0.0140381,0.0265503,0.431213,-0.0265503,0.0219727,0.0424194
6,3,0.0234985,0.0198364,0.0222778,-0.00976562,0.015564,0.0250244,0.0259399,0.0238037,0.0296021,1.22955,-0.0338745,0.00915527,0.0814819
6,4,-0.00274658,0.0189209,0.00976562,0.0231934,-0.00427246,0.0143433,0.0259399,0.0256348,0.0189209,1.19232,-0.0192261,0.0344849,0.0152588
7,0,0.0231934,0.0164795,0.00183105,0.0125122,0.0222778,0.0161743,0.0241089,0.0201416,0.0326538,1.12457,-0.0335693,0.0158691,0.0424194
7,1,0.0442505,0.0421143,0.0228882,0.00793457,0.022583,0.0186157,0.0299072,0.0183105,0.0411987,1.09222,-0.0460815,0.0372314,0.0256348
7,2,0.0247192,-0.0280762,0.0186157,0.00396729,0.039978,0.0228882,0.0192261,0.0305176,0.0402832,-0.618896,-0.0125122,0.00488281,0.0213623
7,3,0.032959,0.0473022,0.0131226,0.0210571,0.00610352,0.0216675,0.00366211,0.0259399,0.0192261,-1.73523,-0.0204468,0.0369263,0.00793457
7,4,0.0167847,0.0610352,0.0134277,0.017395,0.0106812,0.0140381,0.0244141,0.0253296,0.0170898,-3.13904,-0.0238037,0.0012207,0.0201416
8,0,0.0411987,0.0231934,0.0317383,-0.0109863,0.010376,0.0259399,0.0115967,0.0167847,0.027771,-1.65314,-0.0289917,0.0192261,0.0146484
