Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,93.6447,421.062,1161.43,114.359,140.604,1155.38,-114.854,312.495,1196.76,-102.623,210.502,1192.19,24.9677,479.974,870.425,5.88898,451.771,671.017,-7.00229,451.924,467.767,-9.95777,397.562,241.342,-67.9219,347.754,189.047,148.718,394.748,195.655,53.9701,94.1461,862.822,19.9572,125.366,670.196,-18.5585,122.296,463.191,-14.7017,173.773,219.929,-73.942,231.933,194.191,132.257,168.357,197.641
2,0,93.6785,421.123,1161.42,114.361,140.66,1155.38,-114.832,312.587,1196.79,-102.6,210.588,1192.21,24.9982,480.021,870.412,5.96986,451.792,671.012,-6.95105,451.935,467.761,-9.94828,397.562,241.338,-67.9314,347.759,189.062,148.722,394.745,195.653,54.0316,94.1734,862.818,20.0042,125.388,670.196,-18.5334,122.314,463.198,-14.7005,173.776,219.931,-73.9429,231.934,194.193,132.258,168.359,197.641
3,0,93.7133,421.184,1161.41,114.364,140.715,1155.38,-114.81,312.678,1196.82,-102.576,210.672,1192.23,25.0294,480.069,870.399,6.0503,451.814,671.006,-6.90012,451.946,467.756,-9.93885,397.561,241.335,-67.9408,347.764,189.076,148.725,394.742,195.651,54.093,94.2004,862.814,20.0508,125.409,670.195,-18.5086,122.332,463.204,-14.6993,173.78,219.933,-73.9438,231.935,194.195,132.258,168.36,197.641
4,0,93.7493,421.244,1161.4,114.368,140.77,1155.38,-114.787,312.768,1196.84,-102.552,210.756,1192.24,25.0612,480.116,870.386,6.13027,451.835,671,-6.84949,451.957,467.75,-9.92947,397.561,241.331,-67.95,347.77,189.091,148.728,394.739,195.649,54.1541,94.2272,862.809,20.0972,125.43,670.195,-18.4838,122.349,463.21,-14.6981,173.783,219.935,-73.9447,231.936,194.197,132.259,168.362,197.64
5,0,93.7863,421.303,1161.39,114.374,140.823,1155.37,-114.763,312.857,1196.87,-102.526,210.839,1192.26,25.0936,480.162,870.373,6.20979,451.855,670.994,-6.79918,451.969,467.744,-9.92015,397.56,241.328,-67.9592,347.775,189.105,148.732,394.736,195.647,54.2149,94.2537,862.805,20.1434,125.45,670.195,-18.4592,122.367,463.216,-14.697,173.787,219.937,-73.9456,231.938,194.198,132.26,168.363,197.64
6,0,93.8243,421.362,1161.38,114.381,140.876,1155.37,-114.737,312.945,1196.89,-102.499,210.921,1192.28,25.1266,480.207,870.361,6.28886,451.876,670.989,-6.74917,451.979,467.739,-9.91088,397.559,241.324,-67.9684,347.779,189.119,148.735,394.733,195.645,54.2756,94.2799,862.801,20.1892,125.471,670.194,-18.4348,122.384,463.222,-14.6958,173.79,219.939,-73.9466,231.939,194.2,132.26,168.365,197.64
7,0,93.8634,421.42,1161.37,114.389,140.929,1155.37,-114.711,313.033,1196.92,-102.472,211.002,1192.29,25.1602,480.253,870.349,6.36747,451.896,670.983,-6.69947,451.99,467.734,-9.90166,397.559,241.321,-67.9774,347.784,189.133,148.739,394.73,195.643,54.336,94.3059,862.797,20.2349,125.491,670.194,-18.4105,122.402,463.228,-14.6946,173.793,219.941,-73.9476,231.94,194.202,132.261,168.366,197.64
8,0,93.9036,421.477,1161.35,114.398,140.981,1155.36,-114.683,313.119,1196.95,-102.443,211.082,1192.31,25.1944,480.297,870.336,6.44563,451.917,670.978,-6.65007,452.001,467.728,-9.8925,397.558,241.317,-67.9863,347.789,189.147,148.742,394.728,195.641,54.3961,94.3317,862.792,20.2802,125.512,670.193,-18.3863,122.419,463.233,-14.6935,173.797,219.943,-73.9486,231.941,194.204,132.262,168.368,197.639
9,0,93.9448,421.534,1161.34,114.409,141.032,1155.36,-114.655,313.204,1196.97,-102.413,211.161,1192.33,25.2293,480.341,870.324,6.52333,451.937,670.972,-6.60099,452.011,467.723,-9.8834,397.558,241.314,-67.9952,347.794,189.161,148.745,394.725,195.639,54.4561,94.3572,862.788,20.3253,125.532,670.193,-18.3623,122.436,463.239,-14.6923,173.8,219.945,-73.9496,231.942,194.206,132.262,168.369,197.639
10,0,93.987,421.589,1161.33,114.421,141.082,1155.36,-114.626,313.288,1197,-102.382,211.238,1192.34,25.2647,480.384,870.312,6.60057,451.956,670.967,-6.55221,452.022,467.718,-9.87435,397.557,241.311,-68.004,347.799,189.175,148.748,394.722,195.638,54.5158,94.3825,862.784,20.3701,125.552,670.192,-18.3385,122.453,463.245,-14.6912,173.803,219.947,-73.9506,231.944,194.208,132.263,168.37,197.639
11,0,94.0303,421.644,1161.32,114.435,141.132,1155.35,-114.595,313.371,1197.02,-102.35,211.315,1192.36,25.3008,480.427,870.301,6.67736,451.976,670.961,-6.50374,452.032,467.712,-9.86535,397.557,241.307,-68.0127,347.803,189.188,148.752,394.719,195.636,54.5753,94.4075,862.779,20.4147,125.571,670.192,-18.3148,122.47,463.251,-14.69,173.807,219.948,-73.9517,231.945,194.21,132.264,168.372,197.639
12,0,94.0747,421.699,1161.31,114.449,141.181,1155.35,-114.563,313.453,1197.05,-102.317,211.391,1192.37,25.3374,480.47,870.289,6.75369,451.995,670.956,-6.45558,452.042,467.707,-9.85641,397.556,241.304,-68.0213,347.808,189.202,148.755,394.716,195.634,54.6345,94.4323,862.775,20.459,125.591,670.191,-18.2912,122.487,463.257,-14.6889,173.81,219.95,-73.9528,231.946,194.212,132.264,168.373,197.638
13,0,94.1201,421.752,1161.3,114.465,141.229,1155.34,-114.531,313.534,1197.07,-102.283,211.466,1192.39,25.3747,480.511,870.278,6.82957,452.014,670.951,-6.40773,452.053,467.702,-9.84752,397.555,241.301,-68.0298,347.813,189.215,148.758,394.714,195.632,54.6935,94.4568,862.771,20.5031,125.61,670.191,-18.2678,122.503,463.262,-14.6878,173.813,219.952,-73.9538,231.947,194.214,132.265,168.375,197.638
14,0,94.1666,421.805,1161.29,114.483,141.277,1155.34,-114.497,313.614,1197.1,-102.248,211.541,1192.41,25.4126,480.553,870.267,6.90499,452.033,670.946,-6.36018,452.063,467.697,-9.83869,397.555,241.298,-68.0383,347.817,189.229,148.761,394.711,195.63,54.7523,94.4811,862.766,20.5469,125.629,670.19,-18.2445,122.52,463.268,-14.6867,173.816,219.954,-73.955,231.948,194.216,132.266,168.376,197.638
15,0,94.2141,421.857,1161.28,114.501,141.324,1155.34,-114.463,313.694,1197.12,-102.212,211.614,1192.42,25.451,480.593,870.256,6.97996,452.052,670.94,-6.31295,452.072,467.692,-9.82991,397.554,241.295,-68.0466,347.822,189.242,148.765,394.708,195.628,54.8108,94.5051,862.762,20.5904,125.648,670.19,-18.2213,122.536,463.273,-14.6856,173.82,219.956,-73.9561,231.949,194.217,132.266,168.377,197.638
16,0,94.2627,421.909,1161.27,114.521,141.37,1155.33,-114.427,313.772,1197.14,-102.175,211.686,1192.44,25.4901,480.633,870.245,7.05447,452.07,670.935,-6.26602,452.082,467.687,-9.82119,397.553,241.291,-68.0549,347.826,189.255,148.768,394.705,195.627,54.8691,94.5288,862.758,20.6337,125.667,670.189,-18.1983,122.553,463.279,-14.6845,173.823,219.958,-73.9572,231.95,194.219,132.267,168.379,197.637
17,0,94.3123,421.96,1161.26,114.542,141.415,1155.33,-114.39,313.849,1197.17,-102.137,211.757,1192.45,25.5298,480.673,870.234,7.12852,452.088,670.93,-6.2194,452.092,467.682,-9.81252,397.553,241.288,-68.0631,347.831,189.268,148.771,394.703,195.625,54.9272,94.5524,862.753,20.6767,125.685,670.189,-18.1755,122.569,463.284,-14.6834,173.826,219.96,-73.9583,231.951,194.221,132.267,168.38,197.637
18,0,94.363,422.009,1161.25,114.565,141.46,1155.32,-114.353,313.925,1197.19,-102.098,211.827,1192.47,25.5701,480.712,870.224,7.20212,452.106,670.925,-6.17308,452.101,467.677,-9.80391,397.552,241.285,-68.0712,347.835,189.281,148.774,394.7,195.623,54.9851,94.5756,862.749,20.7195,125.704,670.188,-18.1528,122.585,463.29,-14.6823,173.829,219.961,-73.9595,231.952,194.223,132.268,168.381,197.637
19,0,94.4148,422.059,1161.24,114.588,141.505,1155.32,-114.314,314,1197.22,-102.057,211.896,1192.48,25.611,480.75,870.214,7.27527,452.124,670.92,-6.12708,452.111,467.672,-9.79535,397.551,241.282,-68.0792,347.84,189.294,148.777,394.697,195.621,55.0427,94.5986,862.744,20.762,125.722,670.188,-18.1302,122.601,463.295,-14.6812,173.832,219.963,-73.9607,231.953,194.225,132.269,168.383,197.637
20,0,94.4675,422.107,1161.23,114.614,141.548,1155.31,-114.274,314.074,1197.24,-102.016,211.964,1192.49,25.6526,480.788,870.203,7.34796,452.142,670.915,-6.08138,452.12,467.667,-9.78685,397.551,241.279,-68.0871,347.844,189.306,148.78,394.695,195.62,55.1001,94.6214,862.74,20.8042,125.74,670.187,-18.1078,122.616,463.301,-14.6802,173.835,219.965,-73.9619,231.954,194.227,132.269,168.384,197.636
21,0,94.5213,422.155,1161.22,114.64,141.591,1155.3,-114.233,314.148,1197.26,-101.974,212.031,1192.51,25.6947,480.825,870.193,7.42019,452.159,670.91,-6.03599,452.129,467.662,-9.7784,397.55,241.276,-68.095,347.848,189.319,148.783,394.692,195.618,55.1572,94.6439,862.736,20.8462,125.758,670.186,-18.0855,122.632,463.306,-14.6791,173.838,219.967,-73.9631,231.955,194.229,132.27,168.385,197.636
22,0,94.5762,422.202,1161.2,114.667,141.633,1155.3,-114.191,314.22,1197.29,-101.93,212.098,1192.52,25.7374,480.862,870.184,7.49197,452.176,670.905,-5.99091,452.138,467.658,-9.77001,397.549,241.273,-68.1027,347.852,189.331,148.786,394.689,195.616,55.2141,94.6662,862.731,20.8879,125.776,670.186,-18.0634,122.647,463.311,-14.678,173.841,219.968,-73.9643,231.956,194.231,132.271,168.387,197.636
23,0,94.6321,422.249,1161.19,114.696,141.675,1155.29,-114.149,314.291,1197.31,-101.886,212.163,1192.54,25.7807,480.898,870.174,7.56329,452.193,670.901,-5.94614,452.147,467.653,-9.76167,397.549,241.27,-68.1104,347.856,189.344,148.789,394.687,195.615,55.2708,94.6882,862.727,20.9294,125.793,670.185,-18.0414,122.663,463.317,-14.677,173.844,219.97,-73.9656,231.957,194.233,132.271,168.388,197.636
24,0,94.689,422.294,1161.18,114.727,141.716,1155.29,-114.105,314.361,1197.33,-101.841,212.227,1192.55,25.8247,480.934,870.164,7.63415,452.21,670.896,-5.90167,452.156,467.648,-9.75338,397.548,241.267,-68.118,347.86,189.356,148.792,394.684,195.613,55.3273,94.71,862.722,20.9706,125.811,670.184,-18.0196,122.678,463.322,-14.676,173.847,219.972,-73.9669,231.958,194.234,132.272,168.389,197.635
25,0,94.747,422.339,1161.17,114.758,141.756,1155.28,-114.06,314.43,1197.35,-101.794,212.291,1192.56,25.8692,480.969,870.155,7.70456,452.226,670.891,-5.85752,452.165,467.644,-9.74515,397.547,241.264,-68.1255,347.865,189.368,148.795,394.682,195.611,55.3835,94.7315,862.718,21.0115,125.828,670.184,-17.9979,122.693,463.327,-14.6749,173.85,219.974,-73.9681,231.958,194.236,132.272,168.391,197.635
26,0,94.806,422.383,1161.16,114.791,141.796,1155.27,-114.014,314.499,1197.38,-101.747,212.353,1192.58,25.9143,481.003,870.146,7.77452,452.243,670.887,-5.81367,452.174,467.639,-9.73698,397.547,241.261,-68.133,347.868,189.38,148.798,394.679,195.61,55.4395,94.7528,862.713,21.0522,125.845,670.183,-17.9763,122.708,463.332,-14.6739,173.853,219.975,-73.9694,231.959,194.238,132.273,168.392,197.635
27,0,94.866,422.427,1161.15,114.825,141.834,1155.27,-113.967,314.566,1197.4,-101.699,212.414,1192.59,25.96,481.037,870.137,7.84401,452.259,670.882,-5.77012,452.182,467.635,-9.72886,397.546,241.258,-68.1403,347.872,189.392,148.801,394.676,195.608,55.4952,94.7738,862.709,21.0926,125.861,670.182,-17.9549,122.723,463.337,-14.6729,173.856,219.977,-73.9707,231.96,194.24,132.274,168.393,197.635
28,0,94.9271,422.47,1161.14,114.86,141.873,1155.26,-113.919,314.632,1197.42,-101.649,212.475,1192.6,26.0063,481.071,870.128,7.91306,452.274,670.878,-5.72689,452.191,467.63,-9.72079,397.545,241.256,-68.1476,347.876,189.403,148.804,394.674,195.606,55.5507,94.7946,862.704,21.1328,125.878,670.182,-17.9337,122.738,463.342,-14.6719,173.859,219.979,-73.9721,231.961,194.242,132.274,168.394,197.634
29,0,94.9891,422.512,1161.13,114.897,141.91,1155.25,-113.87,314.697,1197.44,-101.599,212.534,1192.62,26.0532,481.103,870.119,7.98164,452.29,670.873,-5.68397,452.199,467.626,-9.71278,397.544,241.253,-68.1548,347.88,189.415,148.807,394.671,195.605,55.606,94.8151,862.7,21.1727,125.895,670.181,-17.9125,122.753,463.347,-14.6709,173.862,219.98,-73.9734,231.962,194.244,132.275,168.396,197.634
30,0,95.0522,422.553,1161.12,114.934,141.947,1155.24,-113.82,314.762,1197.46,-101.547,212.592,1192.63,26.1007,481.136,870.111,8.04977,452.305,670.869,-5.64135,452.207,467.622,-9.70482,397.544,241.25,-68.1618,347.884,189.427,148.81,394.669,195.603,55.6611,94.8354,862.695,21.2123,125.911,670.18,-17.8916,122.767,463.352,-14.6699,173.865,219.982,-73.9748,231.962,194.246,132.275,168.397,197.634
31,0,95.1163,422.594,1161.11,114.974,141.983,1155.24,-113.77,314.825,1197.49,-101.495,212.65,1192.64,26.1488,481.167,870.103,8.11744,452.321,670.864,-5.59904,452.215,467.617,-9.69692,397.543,241.247,-68.1688,347.888,189.438,148.813,394.667,195.601,55.7159,94.8554,862.69,21.2517,125.927,670.179,-17.8708,122.782,463.357,-14.6689,173.867,219.984,-73.9762,231.963,194.248,132.276,168.398,197.634
