Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,173.008,432.11,1149.05,180.098,162.827,1124.26,-30.4097,333.27,1215.34,-18.5078,229.402,1207.66,172.523,502.922,878.442,205.373,466.725,682.01,176.355,465.634,510.663,217.362,406.559,256.63,162.731,355.44,209.959,373.395,412.57,206.374,80.9292,123.74,846.03,24.1552,155.987,661.576,-54.4126,157.073,461.93,-121.65,204.52,260.051,-200.923,238.822,232.142,8.18847,224.105,192.988
2,0,174.79,433.01,1149.19,181.442,163.969,1124.45,-28.9191,334.609,1214.97,-17.1807,230.622,1207.2,171.701,503.357,877.689,201.396,467.592,680.983,171.513,466.324,509.324,210.613,406.096,254.822,155.866,355.014,208.044,366.976,412.591,205.285,79.5157,124.214,845.669,22.0928,157.437,661.189,-58.8562,157.85,462.414,-128.423,204.34,261.194,-208.375,238.435,233.783,1.4983,223.802,193.058
3,0,176.455,433.975,1149.3,182.713,165.162,1124.69,-27.51,335.948,1214.66,-15.922,231.85,1206.79,170.727,503.833,876.991,197.441,468.455,680.042,166.681,467.01,508.101,203.897,405.684,253.185,149.019,354.634,206.33,360.523,412.6,204.29,78.5829,124.808,845.288,20.7017,158.814,660.76,-62.7313,158.563,462.968,-134.85,204.155,262.567,-215.458,238.044,235.828,-5.12483,223.544,193.11
4,0,178.004,435.004,1149.38,183.91,166.406,1124.97,-26.1825,337.288,1214.43,-14.7319,233.084,1206.43,169.601,504.35,876.349,193.507,469.313,679.189,161.859,467.693,506.994,197.213,405.323,251.719,142.19,354.299,204.816,354.037,412.597,203.389,78.1306,125.521,844.889,19.982,160.118,660.29,-66.038,159.212,463.589,-140.927,203.965,264.171,-222.172,237.648,238.279,-11.6816,223.331,193.145
5,0,179.438,436.097,1149.44,185.034,167.701,1125.31,-24.9367,338.627,1214.26,-13.6107,234.326,1206.13,168.322,504.907,875.761,189.593,470.167,678.422,157.048,468.372,506.002,190.562,405.013,250.421,135.379,354.01,203.5,347.519,412.582,202.581,78.1581,126.352,844.471,19.9327,161.349,659.778,-68.7757,159.795,464.28,-146.654,203.769,266.005,-228.511,237.249,241.138,-18.1738,223.165,193.161
6,0,180.755,437.254,1149.47,186.084,169.046,1125.69,-23.773,339.968,1214.15,-12.559,235.575,1205.88,166.892,505.504,875.227,185.7,471.017,677.739,152.247,469.048,505.122,183.942,404.754,249.289,128.587,353.766,202.378,340.972,412.555,201.863,78.6638,127.298,844.037,20.5525,162.505,659.225,-70.9441,160.313,465.04,-152.023,203.568,268.072,-234.467,236.847,244.406,-24.6051,223.044,193.158
7,0,181.957,438.474,1149.47,187.059,170.44,1126.12,-22.6919,341.31,1214.11,-11.5779,236.833,1205.68,165.312,506.141,874.743,181.824,471.864,677.137,147.456,469.72,504.353,177.355,404.544,248.317,121.815,353.565,201.443,334.4,412.516,201.231,79.645,128.352,843.59,21.8383,163.586,658.632,-72.5421,160.765,465.87,-157.025,203.36,270.373,-240.023,236.444,248.091,-30.9809,222.971,193.133
8,0,183.043,439.755,1149.44,187.96,171.881,1126.59,-21.6944,342.655,1214.13,-10.6691,238.099,1205.53,163.583,506.819,874.307,177.963,472.709,676.612,142.676,470.388,503.688,170.8,404.381,247.496,115.062,353.405,200.686,327.807,412.467,200.68,81.0968,129.505,843.135,23.7854,164.591,658.001,-73.5688,161.151,466.771,-161.645,203.145,272.911,-245.157,236.044,252.196,-37.3086,222.945,193.084
9,0,184.014,441.095,1149.39,188.783,173.368,1127.1,-20.7817,344.004,1214.2,-9.83472,239.375,1205.43,161.707,507.538,873.913,174.115,473.554,676.156,137.906,471.053,503.123,164.278,404.265,246.817,108.331,353.283,200.093,321.201,412.407,200.2,83.0122,130.746,842.679,26.3865,165.518,657.334,-74.0235,161.469,467.746,-165.864,202.922,275.69,-249.84,235.652,256.729,-43.5961,222.967,193.011
