Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.020752,0.0390625,0.0326538,-2.86072,0.0164795,0.0994873,0.0274658,0.022583,0.0112915,0.55542,-0.0164795,-0.0231934,0.0241089
1,1,0.010376,0.0698853,0.0283813,-2.32513,0.0268555,0.00671387,0.0256348,0.0189209,-0.0402832,0.519714,-0.022583,0.0106812,0.0256348
1,2,0.0167847,0.0628662,0.0119019,-0.730896,0.0146484,0.0265503,0.0216675,0.0527954,0.0726318,0.541992,-0.0286865,0.0537109,0.020752
1,3,0.0283813,0.0643921,0.0115967,1.51245,0.0320435,0.0296021,0.0213623,0.0238037,0.0106812,0.52002,-0.0216675,0.0216675,0.0177002
1,4,0.0158691,0.0442505,0.0146484,3.18268,0.0430298,0.0427246,0.062561,0.0302124,0.00396729,0.579834,-0.0335693,0.0238037,0.0906372
2,0,0.0250244,0.0656128,0.00823975,3.30566,0.0634766,0.0335693,0.0262451,0.0106812,0.00457764,0.496216,-0.0262451,0.0180054,-0.00335693
2,1,0.022583,0.0250244,-0.0344849,3.32825,0.0256348,0.038147,0.00366211,0.0253296,0.0177002,0.490417,-0.017395,0.0158691,0.101624
2,2,0.017395,0.0146484,0.0112915,3.30261,0.0350952,0.0396729,0.0332642,0.0164795,0.0335693,0.126648,-0.0146484,0.0830078,0.0280762
2,3,0.0140381,-0.0375366,0.0238037,3.24097,0.0012207,0.038147,0.0512695,0.0521851,0.0292969,0.273438,-0.0164795,0.0137329,0.0219727
2,4,0.0216675,0.00823975,0.0213623,3.14514,0.00366211,0.0289917,0.032959,0.03479,0.0167847,0.251465,-0.0216675,0.0192261,0.0161743
3,0,0.0192261,-0.0170898,0.0189209,3.07159,0.0344849,0.0695801,0.0299072,0.010376,0.0164795,0.145874,-0.0189209,0.0317383,0.0180054
3,1,0.0247192,-0.0286865,0.020752,2.16553,0.00793457,0.0247192,0.0158691,0.055542,0.0146484,0.0238037,-0.0354004,0.0250244,0.0350952
3,2,0.0210571,-0.00213623,0.022583,0.534363,0.0308228,0.0305176,0.0378418,0.0326538,0.0927734,-0.103455,-0.0299072,-0.00305176,0.00915527
3,3,0.00366211,0.0231934,0.015564,-1.49841,0.0332642,0.0366211,0.0177002,0.0012207,0.0311279,0.0924683,0.0259399,0.00518799,0.0195312
3,4,0.0283813,0.00427246,0.0289917,-3.1488,0.0427246,0.0238037,0.0314331,0.0350952,0.0250244,0.139465,-0.0485229,0.0259399,0.0280762
4,0,0.00488281,0.0100708,0.0167847,-3.18329,0.00732422,0.00549316,0.0408936,0.0363159,0.0219727,0.10376,-0.0271606,0.0158691,0.0195312
4,1,0.0115967,0.0189209,0.0314331,-3.1665,0.0192261,0.0427246,0.0238037,0.0289917,0.0320435,0.0817871,-0.0210571,-0.00732422,0.0402832
4,2,0.0149536,0.0512695,0.0350952,-3.14331,0.0274658,0.0387573,0.0189209,0.0402832,0.0228882,0.0491333,-0.0366211,0.0213623,0.0131226
4,3,0.0112915,0.0256348,0.0247192,-3.07465,0.0299072,0.0100708,0.0247192,0.0256348,0.0286865,0.0119019,-0.0262451,0.000915527,0.00854492
4,4,0.050354,-0.010376,0.0286865,-2.98431,0.00640869,0.0146484,0.0234985,0.0393677,0.0289917,-0.151367,-0.03479,0.0296021,0.0256348
5,0,0.0476074,0.012207,-0.0466919,-2.89154,0.0375366,-0.0350952,0.0323486,0.039978,0.0344849,-0.0778198,-0.0332642,0.0161743,0.0219727
5,1,0.0137329,-0.0344849,0.00518799,-2.47742,0.0704956,0.00671387,0.0323486,0.0524902,0.0177002,-0.0466919,-0.0393677,0.0100708,0.0216675
5,2,0.0286865,0.0384521,0.00732422,-0.805664,0.0259399,0.0244141,0.0299072,0.0198364,0.0366211,-0.942688,-0.0213623,0.0497437,0.0210571
5,3,0.0454712,0.0610352,0.0128174,1.36108,0.0183105,0.0302124,0.0271606,0.0515747,0.0286865,-0.107117,-0.0292969,0.0552368,0.015564
