Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0250244,-0.0265503,-0.0164795,0.0253296,0.0259399,0.088501,0.0271606,0.0253296,0.0500488,0.0543213,-0.0204468,0.0189209,0.0186157
1,1,0.0622559,-0.00244141,0.0234985,0.0216675,0.032959,0.0564575,0.0238037,0.0222778,0.0363159,-0.255127,-0.0164795,0.0280762,0.0219727
1,2,0.0863647,0.0595093,0.0820923,-0.00183105,0.0149536,0.0650024,0.0357056,0.0228882,0.0369263,-0.318909,-0.0119019,0.0204468,0.0119019
1,3,0.0588989,0.141296,0.0149536,0.0219727,0.0247192,0.0521851,0.0408936,0.0234985,0.0338745,-0.502625,-0.0204468,0.0161743,-0.00427246
1,4,0.0585938,0.0341797,0.00549316,0.0231934,0.0204468,0.0265503,0.045166,-0.00305176,0.0363159,-1.86493,-0.0167847,-0.00701904,0.0189209
2,0,0.0613403,-0.00457764,0.0100708,0.0125122,0.0228882,0.0302124,0.0515747,0.0314331,0.0222778,0.157471,-0.0234985,0.0149536,0.0134277
2,1,0.0448608,-0.0143433,-0.00915527,0.0210571,0.0195312,0.0546265,0.0357056,0.0296021,0.0363159,0.315247,-0.015564,0.000915527,0.00152588
2,2,0.0436401,-0.0534058,0.00366211,0.0198364,0.0262451,0.0320435,0.0253296,0.0408936,0.0338745,0.32196,-0.0198364,0.0149536,0.00213623
2,3,0.0408936,-0.0296021,0.0161743,0.012207,0.0439453,0.0296021,0.0430298,0.0250244,0.0231934,0.262756,-0.0689697,0.0164795,0.00579834
2,4,0.0588989,-0.010376,0.00488281,0.0253296,0.0335693,0.0228882,0.0338745,0.0268555,0.0283813,0.265808,-0.0177002,0.0088501,0.0308228
3,0,0.0357056,0.0100708,0.00823975,0.0167847,0.0146484,0.0244141,0.0366211,0.0265503,0.0265503,0.26001,0.0131226,0.00335693,0.0146484
3,1,0.0524902,0.0198364,0.0128174,0.0537109,0.0305176,0.0259399,0.0427246,0.0280762,0.0253296,0.25177,-0.0216675,0.0140381,0.0140381
3,2,-0.0601196,0.017395,0.0106812,-0.0134277,0.0396729,0.0323486,0.0750732,0.0170898,0.0283813,0.212402,-0.0161743,0.0112915,0.0286865
3,3,-0.00335693,0.0289917,-0.000610352,0.0335693,0.0354004,0.0192261,0.0274658,0.0149536,0.0256348,0.192261,-0.0161743,-0.043335,0.0210571
3,4,0.00701904,0.0137329,-0.032959,0.0411987,0.027771,0.0241089,0.0238037,0.0317383,0.0286865,0.190735,-0.0280762,0.020752,0.0311279
4,0,0.0012207,0.0311279,0.0106812,0.0234985,0.0244141,0.0363159,0.0314331,0.0393677,0.00305176,0.163269,-0.0247192,0.0576782,0.0143433
4,1,-0.0344849,0.0769043,0.0189209,0.00854492,0.0601196,0.0311279,0.0128174,0.0262451,0.0527954,0.140991,-0.0637817,0.0158691,0.0201416
4,2,0.00457764,0.0637817,0.0283813,0.0308228,0.0231934,0.0265503,-0.0378418,0.0280762,0.0292969,0.120239,-0.015564,0.0201416,0.0335693
4,3,0.00274658,0.0320435,0.0430298,0.0238037,0.0320435,0.0506592,0.0234985,0.0634766,0.0408936,0.137634,0.0189209,0.017395,0.0247192
4,4,0.000305176,0.0183105,0.0204468,0.0192261,0.0192261,-0.00183105,0.0405884,0.0195312,-0.000610352,0.109253,-0.0320435,0.0628662,0.0228882
5,0,-0.00518799,-0.0231934,0.0256348,0.0396729,0.0393677,0.0320435,0.0473022,0.0378418,0.0253296,0.0939941,-0.0189209,0.027771,0.0238037
5,1,0.0088501,-0.0326538,0.0463867,0.0180054,0.0262451,0.0146484,0.038147,0.0262451,0.0302124,0.090332,-0.0140381,0.062561,0.0131226
5,2,0.00488281,-0.0521851,0.0198364,0.0271606,0.0164795,0.0189209,0.0393677,0.0463867,0.0524902,0.0857544,-0.0317383,0.0259399,0.0213623
5,3,0.012207,-0.0289917,0.0228882,0.0222778,0.0320435,0.0326538,0.0271606,0.0289917,0.0250244,0.0872803,-0.0195312,-0.0253296,0.00915527
5,4,0.0137329,-0.0109863,0.0393677,0.0149536,0.0167847,0.0112915,0.0213623,0.0262451,0.0540161,0.0579834,-0.0292969,0.0341797,0.0286865
6,0,0.0320435,-0.0149536,0.0164795,0.0253296,0.0646973,0.0198364,0.0411987,0.039978,0.0314331,0.0534058,0.00152588,0.0241089,0.0183105
6,1,0.0271606,-0.0143433,0.0198364,0.022583,0.0262451,0.0256348,0.0219727,0.0247192,0.0296021,0.117188,-0.0341797,0.0106812,0.0268555
6,2,0.0106812,-0.00183105,0.000610352,0.0152588,0.0961304,0.0674438,0.0253296,0.0790405,0.0552368,0.0482178,-0.0183105,0.0192261,0.0338745
6,3,0.0204468,0.0518799,0.0164795,0.0335693,0.0323486,0.0247192,0.0402832,0.0253296,0.038147,0.0506592,-0.0134277,0.0183105,0.017395
6,4,0.0128174,0.0216675,0.0152588,0.0228882,0.0210571,0.0320435,0.0637817,0.0177002,0.0268555,0.0772095,-0.0198364,0.0286865,0.0656128
7,0,0.0137329,-0.0100708,0.0308228,0.00701904,0.0210571,0.038147,0.0366211,0.0189209,0.00549316,0.0338745,-0.0219727,0.015564,0.0231934
7,1,0.0161743,0.0128174,0.0198364,-0.0430298,-0.000305176,0.0234985,0.0628662,0.0183105,0.0299072,0.0314331,-0.0149536,0.0183105,0.0186157
7,2,0.0317383,0.0354004,0.0106812,0.00305176,0.0308228,0.0360107,0.0247192,0.0274658,0.0195312,0.0454712,-0.022583,0.0271606,0.0265503
7,3,0.0265503,0.0201416,0.0115967,0.0161743,0.0213623,0.0402832,0.0494385,0.03479,0.00396729,0.0491333,-0.0192261,0.0210571,0.0231934
7,4,-0.00854492,0.0741577,0.0350952,0.0204468,-0.00274658,0.0354004,0.0454712,0.0119019,0.0253296,0.0253296,-0.0262451,0.0192261,0.0177002
8,0,-0.000915527,0.00946045,0.0299072,0.0204468,0.0244141,0.0161743,0.0305176,0.0360107,-0.00366211,0.0564575,-0.0302124,0.0152588,0.0372314
