Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0149536,0.0177002,0.0158691,0.0778198,0.0265503,0.0189209,0.00366211,0.0265503,0.0280762,0.020752,-0.022583,0.0289917,0.0189209
1,1,0.0253296,0.015564,0.0320435,0.0158691,0.0714111,0.0424194,0.0405884,-0.0259399,0.0192261,0.0231934,0.00488281,0.0152588,0.015564
1,2,0.0149536,0.00762939,0.0201416,0.0234985,0.0326538,0.043335,0.0222778,0.0167847,0.0247192,0.0140381,-0.0152588,0.022583,0.0314331
1,3,0.0186157,0.0146484,0.0247192,-0.0363159,0.0375366,0.0387573,0.0247192,0.0244141,0.0186157,0.0421143,-0.0189209,0.0228882,0.0424194
1,4,0.0177002,0.0177002,0.0198364,0.0247192,0.0479126,0.0543213,0.0311279,0.0167847,-0.00213623,0.000305176,-0.0189209,-0.0387573,0.0180054
2,0,0.00549316,0.00396729,0.0836182,0.0411987,0.0256348,0.057373,0.0268555,0.0558472,0.015564,0.00213623,-0.0411987,0.022583,0.0299072
2,1,0.00701904,-0.0521851,0.0183105,0.0198364,0.0424194,0.0250244,0.0268555,0.0213623,0.0134277,0.0149536,-0.0170898,0.015564,0.0146484
2,2,0.00915527,0.0149536,0.0152588,0.0268555,0.0534058,0.0262451,0.0271606,0.00640869,0.0143433,0.00244141,-0.022583,0.0219727,0.0274658
2,3,0.0628662,0.0213623,0.0350952,0.0234985,0.0759888,0.0338745,0.0231934,0.0158691,0.0222778,0.00946045,-0.0088501,0.00915527,0.0283813
2,4,-0.00305176,0.0247192,0.0268555,0.0805664,0.0457764,0.032959,0.0491333,0.0198364,0.0210571,-0.00915527,-0.0161743,0.000305176,0.0164795
3,0,0.0161743,0.00946045,0.0259399,0.0323486,0.0506592,0.0198364,0.0323486,-0.0280762,0.017395,-0.017395,-0.00610352,0.0161743,0.0134277
3,1,0.027771,0.0265503,0.00823975,0.032959,0.0457764,0.0311279,0.0241089,0.0213623,0.0128174,-0.00732422,-0.0134277,0.00396729,0.0012207
3,2,0.0131226,-0.00396729,0.0183105,0.0311279,0.0283813,0.0308228,0.0283813,0.0180054,0.00152588,0.000610352,-0.0317383,0.0289917,0.0796509
3,3,0.00427246,0.0115967,0.0152588,0.0128174,0.0396729,0.0112915,0.0241089,0.0344849,0.012207,0.00213623,-0.0320435,0.0146484,0.00976562
3,4,0.0222778,0.0234985,0.0219727,-0.00488281,0.0357056,0.0393677,0.0512695,0.0253296,0.0241089,0.0244141,-0.0231934,0.0177002,0.00854492
4,0,0.0357056,0.0247192,0.0286865,0.0259399,0.0308228,0.0271606,0.0228882,0.0271606,0.00732422,0.027771,-0.0369263,0.015564,0.0109863
4,1,0.0183105,0.0241089,0.0704956,0.0396729,0.0363159,0.112,0.0210571,0.0234985,0.0134277,0.0363159,-0.0234985,0.0161743,0.00823975
4,2,0.0140381,-0.0244141,0.0314331,0.0302124,0.00549316,0.0238037,0.0262451,0.0335693,0.0180054,0.0183105,-0.0180054,0.0680542,0.0189209
4,3,0.0271606,0.0201416,0.0241089,0.0137329,0.0259399,-0.0180054,0.0338745,0.0323486,0.032959,0.0283813,-0.0198364,0.0234985,0.015564
4,4,-0.00488281,0.020752,0.0317383,0.0579834,0.0326538,0.03479,0.0418091,0.0177002,0.0164795,0.0363159,0.0131226,0.0109863,0.00427246
5,0,0.0216675,0.0250244,0.03479,0.020752,0.0198364,0.0405884,0.0271606,0.0323486,-0.0201416,0.0308228,-0.0308228,-0.0134277,0.0204468
5,1,0.0402832,0.0186157,0.0387573,0.0320435,0.0326538,0.0323486,0.0244141,0.0314331,0.0112915,0.00518799,-0.0296021,0.0115967,0.0619507
5,2,0.0326538,0.010376,0.00640869,0.0311279,0.0259399,0.0402832,0.0262451,0.0186157,0.0198364,0.0436401,-0.0119019,0.0125122,0.0271606
5,3,0.0167847,0.0158691,0.0250244,0.0302124,0.012207,0.0326538,0.0357056,0.0311279,0.00976562,0.022583,-0.0244141,0.0115967,0.0167847
5,4,0.0125122,0.0128174,0.0912476,0.0305176,0.0253296,-0.00274658,0.0488281,0.0262451,0.0595093,0.0292969,-0.0161743,-0.0457764,0.0131226
