Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0280762,0.00457764,0.0314331,0.015564,0.0250244,0.022583,0.151062,3.05389,0.00396729,0.0317383,-0.0354004,0.0177002,0.0219727
1,1,0.0228882,0.0195312,-0.0311279,0.0189209,0.0170898,0.022583,0.137634,3.2135,0.00366211,0.0326538,-0.0244141,0.0402832,0.0234985
1,2,0.0326538,0.0320435,0.0323486,0.020752,0.000915527,0.0308228,0.12207,3.14148,0.0198364,0.0280762,-0.0384521,0.0366211,0.0219727
1,3,0.0244141,0.0222778,0.0332642,0.0283813,0.00427246,0.0195312,0.106506,3.01147,-0.00671387,0.0265503,-0.0442505,0.0518799,0.0192261
1,4,0.0262451,0.0219727,0.017395,0.0231934,0.0497437,0.0143433,0.0921631,2.95227,0.0125122,0.0387573,-0.0296021,0.0265503,0.0244141
2,0,0.0354004,0.032959,0.0131226,0.0149536,0.00549316,0.0476074,0.104065,2.81891,0.0112915,0.0317383,-0.0296021,0.0238037,0.0268555
2,1,0.0366211,0.0460815,0.0311279,0.0259399,0.0680542,0.0308228,0.090332,2.71729,0.0335693,0.0314331,-0.0247192,0.0250244,0.0256348
2,2,0.0357056,0.0402832,0.0354004,0.0167847,0.0164795,0.0619507,0.0750732,2.61017,0.0302124,0.020752,-0.0341797,0.0296021,0.0332642
2,3,0.0250244,0.027771,0.00183105,0.039978,0.0259399,-0.0146484,0.0787354,2.52838,0.0201416,0.0265503,-0.0192261,0.0320435,0.0259399
2,4,0.027771,0.0265503,0.0314331,0.0250244,0.0143433,0.0680542,0.0708008,-0.422058,0.0500488,0.0192261,-0.0213623,0.0631714,0.0341797
3,0,0.0286865,0.027771,0.0289917,0.0134277,0.00976562,0.00457764,0.0390625,2.42737,0.0115967,0.0234985,-0.0250244,0.0201416,0.0265503
3,1,0.0244141,0.0405884,0.0292969,0.0146484,0.00366211,0.0250244,0.0445557,-3.08075,0.0210571,0.0442505,-0.0341797,0.0286865,0.032959
3,2,0.015564,0.0250244,0.0292969,0.0088501,0.0088501,-0.00671387,0.032959,-3.17993,0.00823975,0.027771,-0.0430298,0.0463867,0.0234985
3,3,0.0234985,0.000915527,0.0234985,0.0164795,0.0259399,0.017395,0.039978,-3.20435,0.0128174,0.0274658,-0.0338745,0.0210571,0.0457764
3,4,0.0588989,0.0317383,0.0384521,0.0747681,0.0238037,0.0241089,0.101013,-2.16309,0.0149536,0.0759888,0.0119019,0.0384521,0.0869751
4,0,-0.0411987,0.0262451,0.0308228,-0.0375366,0.0161743,0.0241089,0.0338745,-2.69531,-0.00335693,0.0250244,-0.0259399,0.0418091,0.0341797
4,1,0.0265503,0.0134277,0.0354004,0.0271606,0.0189209,0.0152588,0.0320435,-1.91132,0.00732422,0.0259399,-0.03479,0.0363159,0.0305176
4,2,-0.0366211,0.0317383,0.0317383,0.0134277,0.0308228,0.0198364,0.0262451,-1.79688,0.017395,0.0390625,-0.0387573,0.0311279,0.0167847
4,3,0.022583,0.0286865,0.0299072,0.0286865,-0.010376,0.0115967,0.0228882,-0.767517,0.00244141,0.0332642,-0.0296021,0.0543213,0.0283813
4,4,0.0393677,0.0146484,0.0384521,0.0335693,0.0167847,0.0186157,0.0897217,0.71167,0.0231934,0.0662231,-0.0402832,0.0299072,-0.0384521
5,0,0.00854492,0.0283813,0.0234985,0.0234985,0.0204468,0.0265503,0.0158691,-0.0152588,0.0299072,0.0137329,-0.0332642,0.00213623,0.0378418
5,1,0.0201416,0.0296021,0.0683594,0.0100708,0.0262451,0.00762939,0.0112915,-2.28394,0.0280762,0.0256348,-0.0305176,0.0387573,0.0372314
5,2,0.0393677,0.0302124,0.0335693,0.022583,0.0210571,0.0189209,0.0180054,-2.57538,0.0109863,0.0201416,-0.0302124,0.0137329,0.0408936
5,3,0.00732422,0.0305176,0.0262451,0.0372314,0.0109863,0.0222778,-0.00427246,-3.18939,0.0125122,0.022583,-0.0387573,0.0311279,0.0585938
5,4,0.0268555,0.0186157,0.0457764,0.0311279,0.0244141,0.0186157,0.0231934,-3.12866,0.0146484,0.00762939,-0.0357056,0.0299072,0.0396729
6,0,0.0222778,0.038147,0.0350952,0.012207,0.0219727,0.0210571,0.015564,-1.36047,0.0305176,0.0292969,-0.0152588,0.0180054,0.0256348
