Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0219727,0.00732422,0.0106812,0.0161743,-0.00640869,0.03479,0.0744629,0.0375366,0.032959,0.0296021,-0.0228882,0.00335693,0.0149536
1,1,0.0195312,0.0137329,0.0378418,0.0280762,0.017395,-0.00732422,0.0128174,0.0231934,0.00732422,0.0354004,-0.0231934,0.0222778,0.010376
1,2,0.0222778,0.00274658,0.0167847,0.000305176,0.0180054,0.020752,0.0210571,0.0198364,0.0350952,0.0299072,-0.0253296,0.00915527,0.0228882
1,3,0.0378418,0.0192261,0.010376,0.0100708,0.0216675,0.0350952,0.0119019,-0.00946045,0.038147,0.0421143,0.0119019,0.0274658,0.00854492
1,4,0.0305176,0.0131226,0.0125122,-0.00823975,0.0125122,0.0274658,0.045166,0.0305176,0.0158691,0.0253296,-0.0354004,0.0390625,0.0195312
2,0,0.0265503,0.0250244,0.0149536,0.00976562,0.0146484,0.0183105,0.0241089,0.0259399,0.0253296,0.0180054,-0.0292969,0.00762939,0.0305176
2,1,0.0280762,0.0390625,0.017395,0.0247192,0.0143433,0.0161743,0.0210571,0.017395,0.0259399,0.0344849,-0.0302124,0.0234985,0.0198364
2,2,-0.000305176,0.0262451,0.0289917,0.0100708,0.0177002,0.000610352,0.0250244,0.0198364,0.0274658,0.0314331,-0.0180054,0.0152588,-0.0509644
2,3,0.0186157,0.0189209,0.012207,0.00915527,0.0143433,-0.0119019,0.0527954,0.0143433,0.027771,0.0366211,-0.0305176,0.0140381,-0.0143433
2,4,0.0228882,0.00823975,0.0106812,-0.0012207,0.0140381,0.0189209,0.0134277,0.0311279,0.0302124,0.0167847,-0.0283813,0.0265503,0.00701904
3,0,0.0170898,0.0177002,0.0125122,-0.00732422,0.0088501,0.0186157,0,0.0131226,0.0308228,0.0289917,-0.0228882,0.0143433,0.0335693
3,1,0.0234985,0.0289917,0.0289917,0.00640869,0.010376,-0.0198364,0.0311279,0.0354004,-0.0192261,0.0286865,-0.027771,-0.00274658,0.0234985
3,2,0.0201416,0.0338745,0.0195312,0.0161743,0.0363159,0.00671387,0.0247192,0.0344849,0.0326538,0.0241089,-0.0280762,0.0247192,0.0115967
3,3,0.0518799,0.0167847,0.0238037,0.0158691,0.0161743,0.0216675,0.0204468,0.0262451,0.038147,0.017395,-0.027771,0.0177002,0.0305176
3,4,0.0265503,0.0540161,0.017395,0.00915527,0.0454712,0.0140381,0.0308228,0.0192261,0.0323486,0.0274658,-0.0241089,0.020752,0.032959
4,0,0.0234985,0.00579834,0.0137329,0.0183105,0.0115967,0.0100708,0.0289917,0.0305176,0.0387573,0.0350952,-0.0231934,0.00366211,0.0100708
4,1,0.0125122,0.0192261,0.0192261,0.00946045,0.0238037,0.062561,0.0213623,0.0213623,0.0280762,0.0241089,-0.0137329,0.0311279,0.010376
4,2,0.0332642,0.0106812,0.00671387,0.00946045,0.00946045,0.0646973,0.0204468,0.0183105,0.0634766,0.0152588,-0.0286865,0.0216675,0.0088501
4,3,0.0247192,0.0457764,-0.0286865,0.015564,0.0210571,0.0576782,0.0320435,0.0430298,0.0375366,0.022583,-0.0418091,0.0210571,0.0216675
4,4,0.0308228,0.020752,0.00183105,0.010376,0.00732422,0.0186157,0.0332642,0.0140381,0.0311279,0.0375366,-0.0323486,0.0164795,0.0161743
5,0,0.0857544,0.0415039,0.0088501,0.0299072,0.0131226,0.00579834,0.0170898,0.0216675,0.0372314,0.0231934,-0.0436401,0.00946045,0.010376
5,1,0.0302124,0.0222778,0.00518799,0.0247192,-0.0125122,0.0231934,0.0219727,0.00640869,0.0286865,0.0326538,-0.0335693,0.0210571,0.0140381
5,2,0.020752,0.0311279,0.00762939,0.0299072,0.022583,0.022583,-0.00823975,0.0140381,0.0274658,0.00366211,-0.0613403,0.012207,0.0524902
5,3,0.0259399,0.022583,-0.0210571,0.0213623,0.0234985,0.0100708,0.0274658,0.0149536,0.0231934,0.0305176,-0.032959,0.00518799,0.022583
5,4,0.032959,0.0231934,0.0128174,0.0189209,0.0088501,0.0732422,0.03479,0.010376,-0.020752,0.0344849,-0.0247192,0.017395,0.0341797
6,0,0.0231934,0.0262451,0.00457764,0.0415039,0.0125122,0.0146484,0.0708008,0.0299072,0.0253296,-0.0140381,-0.0311279,0.00854492,0.0128174
6,1,0.0256348,0.0280762,0.0253296,0.0189209,-0.000610352,0.0210571,0.0109863,0.0241089,0.0338745,0.015564,-0.0326538,0.00915527,0.0164795
6,2,0.0195312,0.0201416,0.0244141,0.0234985,-0.0158691,0.0292969,0.00610352,0.0189209,0.0283813,0.0234985,-0.0186157,0.0216675,0.0234985
6,3,0.0305176,0.0402832,0.0228882,0.0323486,0.0186157,0.0149536,0.0198364,-0.0012207,0.0292969,0.0109863,-0.0473022,0.0134277,0.0115967
6,4,0.0231934,0.0756836,0.020752,0.010376,-0.00732422,0.00183105,0.0244141,0.03479,0.0244141,0.0372314,-0.0326538,0.0390625,0.0146484
7,0,0.0332642,0.0387573,0.0262451,0.0238037,0.00579834,0.00640869,0.0146484,0.0186157,0.0143433,0.0357056,-0.027771,0.0314331,0.0241089
7,1,0.0418091,0.0222778,0.0369263,0.0170898,0.015564,0.0231934,-0.000305176,0.0115967,0.0210571,0.0418091,-0.0320435,0.0183105,-0.00335693
7,2,0.0387573,0.0222778,0.0137329,0.0491333,0.0195312,0.0296021,0.0714111,0.0186157,0.0125122,0.0354004,-0.0296021,0.0396729,0.0296021
7,3,0.0320435,0.0286865,0.0241089,0.0125122,0.0100708,0.00640869,0.0259399,0.0296021,0.010376,-0.00793457,-0.020752,0.0262451,-0.0112915
7,4,0.0387573,0.0231934,0.020752,0.0390625,0.00549316,0.012207,0.0473022,0.00762939,0.0366211,0.0384521,0.0112915,0.0289917,0.0405884
8,0,0.0247192,0.0283813,0.0137329,0.0177002,0.0213623,0.00732422,0.012207,0.0250244,0.0363159,0.0311279,-0.0204468,0.0213623,0.0247192
8,1,0.0338745,0.0234985,0.0177002,0.022583,0.00640869,0.0152588,0.00915527,0.0195312,0.0216675,0.0338745,-0.0189209,0.0387573,0.0308228
8,2,0.0244141,0.0320435,0.0234985,0.0271606,0.0115967,0.0112915,0.0183105,0.0228882,0.020752,0.022583,-0.0213623,0.0283813,0.0354004
8,3,0.032959,0.0271606,0.0268555,0.00610352,0.0115967,0.0222778,-0.0204468,0.0341797,0.00549316,0.0338745,-0.0314331,0.0231934,0.0250244
8,4,0.0906372,0.0259399,0.0180054,0.000915527,-0.0119019,0.00579834,-0.0341797,0.0231934,0.0228882,-0.00640869,-0.0457764,0.0268555,0.0253296
