Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0192261,0.0183105,0.0146484,0.0210571,0.0286865,1.26801,0.00671387,0.821228,0.020752,0.017395,-0.0262451,0.0100708,0.0161743
1,1,0.0186157,0.00793457,-0.00701904,0.0302124,0.0238037,1.95374,0.0244141,0.418701,0.0137329,0.0411987,-0.0167847,0.0119019,-0.00213623
1,2,0.015564,0.0234985,0.00823975,0.0247192,0.0177002,1.2146,0.0268555,0.33844,0.0311279,0.0192261,-0.0268555,0.0183105,0.0238037
1,3,0.0210571,0.00152588,-0.0320435,0.00701904,0.0289917,-0.452576,0.0274658,0.469055,0.0280762,0.0195312,-0.0271606,0.00915527,0.0192261
1,4,0.00488281,0.0158691,0.0213623,0.0100708,0.0216675,-0.691833,0.0384521,0.582275,0.0332642,0.0119019,-0.0106812,0.000610352,0.00762939
2,0,0.0241089,0.0360107,0.0195312,0.00946045,0.0354004,-2.53479,0.0308228,0.617065,0.0256348,0.0247192,-0.0234985,0.022583,0.0088501
2,1,0.0408936,0.00244141,0.010376,0.00335693,0.022583,-2.15363,0.0292969,0.280762,0.0253296,0.0180054,-0.0213623,0.00366211,0.0170898
2,2,0.0177002,0.0140381,0.000610352,0.0100708,0.00305176,-1.31805,0.0292969,0.0012207,0.0280762,0.0195312,-0.0167847,0.00549316,0.0183105
2,3,0.0292969,0.0125122,0.0201416,0.0271606,0.0402832,-2.30103,0.03479,-0.47699,0.0354004,0.0201416,-0.0213623,0.0228882,0.0134277
2,4,0.0149536,0.0131226,0.0128174,-0.0216675,0.0189209,-2.51892,0.0299072,0.231628,0.0219727,0.0527954,-0.0131226,0.010376,0.0473022
3,0,0.00946045,0.0152588,0.0112915,0.0143433,0.0271606,-2.0285,0.0247192,0.0445557,0.0216675,0.0119019,-0.0222778,0.00213623,-0.000610352
3,1,0.020752,0.0286865,0.0137329,0.0344849,0.0119019,-1.34857,0.0674438,-0.506592,0.0210571,0.0567627,-0.00518799,0.0161743,0.0189209
3,2,0.00701904,0.0161743,0.0119019,0.012207,0.0314331,-1.96198,0.0421143,-0.229492,0.0350952,0.00488281,-0.00549316,-0.00701904,0.0289917
3,3,0.0115967,0.0186157,0.00213623,0.0323486,0.0115967,-2.25891,0.0338745,0.369263,0.03479,0.0201416,-0.0140381,0.0088501,0.0183105
3,4,0.00915527,0.0210571,0.0146484,0.00549316,-0.0238037,-1.91833,0.0241089,0.0198364,0.020752,0.0244141,-0.0164795,0.0100708,0.010376
4,0,0.0253296,0.0210571,0.0213623,0.0152588,0.0549316,-0.541687,0.038147,-0.357971,0.0259399,0.0228882,0.0180054,0.00183105,0.00427246
4,1,0.0265503,0.0161743,0.00366211,0.00457764,0.0183105,-1.57227,0.0247192,0.0369263,0.0134277,0.0186157,-0.0326538,0.000305176,0.0271606
4,2,0.0296021,0.000610352,0.0128174,0.0088501,0.012207,-1.99493,0.0366211,0.431519,0.0787354,0.0198364,-0.0314331,0.0738525,0.0231934
4,3,0.0177002,0.0115967,0.00640869,0.0112915,0.0140381,-1.93054,0.0305176,0.328369,0.0213623,0.0192261,-0.0521851,0.00946045,0.017395
4,4,0.0140381,0.0192261,0.0418091,0.0256348,0.0177002,-1.83441,0.0180054,0.671082,0.0177002,0.0268555,-0.020752,0.0195312,0.0335693
5,0,0.0250244,0.0384521,0.00610352,0.00518799,-0.0424194,-1.80603,0.0317383,1.07117,0.0192261,0.0189209,-0.0164795,-0.0231934,-0.00213623
5,1,0.0378418,0.0152588,0.0183105,0.0274658,0.0161743,-1.75751,0.0369263,0.745544,0.0305176,0.0338745,-0.0338745,0.0115967,0.0119019
5,2,0.0387573,0.00976562,0.0360107,0.0479126,0.0210571,-1.68671,0.0332642,0.30304,0.0222778,0.0292969,-0.0531006,0.0128174,0.0161743
5,3,0.0192261,0.0262451,0.0100708,0.0622559,0.0204468,-1.66412,0.062561,1.37573,0.0421143,0.0167847,-0.0186157,0.0195312,0.017395
5,4,-0.0170898,0.00946045,0.0161743,0.0256348,0.0137329,-1.6217,0.0253296,0.897827,0.0335693,0.0134277,0.000610352,0.000610352,0.00610352
6,0,0.00457764,0.0283813,0.010376,0.0119019,0.0357056,-1.58356,0.0231934,0.327454,0.0274658,0.0540161,-0.0311279,0.0198364,0.0109863
6,1,0.0106812,0.010376,0.0244141,0.0186157,0.00366211,-1.54785,0.0320435,0.504761,0.0238037,0.0195312,0.00152588,0.0115967,0.0112915
6,2,0.0283813,0.00762939,0.0149536,0.0152588,0.00732422,-1.52222,0.0335693,0.818176,0.045166,0.0195312,-0.0186157,-0.00335693,0.00946045
6,3,0.0158691,0.0219727,0.0167847,0.0192261,0.0115967,-1.47675,0.0238037,0.436707,0.0259399,0.0372314,-0.0259399,0.0204468,0.032959
6,4,0.0195312,0.0161743,0.0177002,0.0192261,0.0180054,-1.37024,0.0292969,-0.83374,0.0204468,0.0454712,-0.0289917,-0.00488281,0.0112915
7,0,0.0177002,0.0106812,0.0216675,0.0247192,0.00183105,-1.19873,0.0247192,-0.00457764,0.010376,0.0167847,-0.017395,0.0289917,0.0146484
7,1,-0.0387573,0.0265503,0.0161743,0.039978,0.0198364,-1.21002,0.0262451,-0.032959,0.0192261,0.0131226,-0.0259399,0.0228882,0.0408936
7,2,0.0146484,-0.0250244,0.015564,0.0137329,0.00976562,-0.98999,0.0308228,-0.109253,0.0357056,0.0192261,-0.0265503,0.0357056,0.0213623
7,3,0.0106812,0.0177002,0.0183105,0.00457764,0.0247192,-0.522461,0.0210571,-0.067749,0.022583,0.0222778,-0.0299072,0.0131226,0.0857544
7,4,0.0317383,0.0180054,0.00305176,0.0158691,0.0213623,-0.678406,0.0292969,0.112305,0.0311279,0.0314331,-0.0234985,0.0314331,0.00976562
8,0,0.0250244,-0.0109863,0.0100708,0.0012207,0.0311279,-0.0354004,0.0308228,0.334778,0.0204468,0.0274658,-0.0259399,0.0177002,0.0115967
8,1,0.0491333,0.015564,0.0109863,0.0112915,0.0231934,0.79895,0.0253296,-0.017395,0.0262451,0.0418091,-0.0274658,0.0143433,0.0582886
8,2,0.0201416,0.0177002,0.00854492,0.0186157,0.0320435,2.47559,0.0415039,0.793762,0.0308228,0.0167847,-0.0262451,0.0204468,-0.00915527
8,3,-0.0213623,0.0259399,0.0109863,-0.0210571,0.0375366,3.2489,0.00152588,0.753784,0.0338745,-0.00640869,-0.0158691,0.0259399,-0.0265503
8,4,0.0112915,0.0231934,0.0131226,0.0164795,0.0183105,3.25378,0.0292969,0.386047,0.0564575,0.0415039,-0.0283813,0.0726318,0.00457764
9,0,-0.00396729,0.0265503,0.00823975,0.00762939,0.0192261,3.29529,0.0216675,-0.0341797,0.0360107,0.0222778,-0.0216675,0.027771,-0.00549316
9,1,0.0256348,-0.0158691,0.0564575,0.0137329,0.022583,3.3075,0.0335693,0.302734,0.015564,0.0289917,-0.0247192,0.0302124,0.0149536
9,2,0.0247192,0.0189209,0.0302124,0.0216675,0.0152588,3.31787,0.0146484,0.243225,0.0332642,0.0317383,-0.0271606,0.0265503,0.012207
9,3,0.0323486,0.0189209,-0.00579834,0.0128174,0.0137329,3.32489,0.0311279,-0.103149,0.0244141,0.0418091,-0.0326538,0.0137329,0.0143433
9,4,0.0228882,-0.0323486,0.0234985,0.0222778,0.0183105,3.30627,0.020752,0.407715,0.0241089,0.0216675,-0.0250244,-0.00274658,0.0262451
10,0,0.00274658,0.0231934,0.015564,0.00701904,0.0262451,3.30383,0.0259399,-0.00274658,0.0274658,0.0177002,-0.0253296,0.00305176,0.00640869
10,1,0.00427246,0.00915527,0.0198364,-0.0106812,0.0158691,2.92358,0.0335693,0.0527954,0.0292969,0.0491333,-0.0271606,0.00915527,0.0274658
10,2,0.0216675,-0.00671387,0.0170898,0.0204468,0.0234985,2.67365,0.015564,-0.174561,0.0143433,0.0418091,-0.0283813,0.0323486,0.0241089
10,3,0.027771,0.015564,0.0170898,0.038147,0.00762939,3.23395,0.0463867,-0.10437,0.0268555,0.0387573,-0.0189209,0.0228882,0.0210571
10,4,0.0283813,0.0296021,0.0177002,0.0161743,0.0152588,3.30048,0.017395,0.102539,0.0415039,0.0286865,-0.00610352,0.0213623,0.0256348
11,0,0.0286865,0.0283813,0.0115967,0.0149536,0.0234985,3.29712,0.0195312,-0.0671387,0.0238037,0.0231934,-0.0653076,0.0213623,0.0204468
11,1,0.00335693,0.0115967,0.0137329,0.0308228,0.0238037,3.26294,0.0311279,0.0238037,0.0787354,0.0320435,-0.0289917,-0.0143433,0.0143433
11,2,0.020752,0.0149536,0.0283813,0.0128174,0.0250244,3.15155,0.0363159,-0.249939,0.0271606,0.0326538,-0.0363159,-0.0164795,0.00701904
11,3,0.0314331,0.0344849,0.00518799,0.010376,0.0131226,3.06702,0.0317383,0.288696,0.043335,0.0360107,-0.0311279,0.0186157,-0.0280762
11,4,0.020752,0.0210571,0.0137329,-0.00366211,0.0244141,2.98065,0.0360107,0.389099,0.0411987,0.0375366,-0.0390625,0.0210571,0.012207
12,0,0.0274658,0.0186157,0.0213623,0.0161743,0.0146484,2.91199,0.0131226,0.757446,0.0396729,0.0354004,-0.0335693,0.0274658,0.020752
12,1,0.0161743,0.0112915,0.00183105,0.00488281,0.0192261,2.8479,0.0286865,0.645447,0.0271606,0.027771,-0.00335693,0.0314331,0.0192261
12,2,0.0320435,0.0198364,0.0137329,0.0143433,0.0259399,2.67151,0.0231934,-0.0692749,0.0314331,0.0405884,-0.0311279,0.0158691,0.0216675
12,3,0.0198364,0.0228882,0.027771,0.00701904,0.0323486,2.00623,0.0341797,0.185242,0.0292969,0.0253296,-0.0344849,0.0335693,0.0152588
12,4,0.020752,0.022583,0.0177002,0.00701904,0.0210571,2.20032,0.0216675,-0.0265503,0.0344849,0.0283813,-0.0311279,0.0180054,0.0268555
